127.0.0.1 - - [25/Sep/2024:09:05:27 +0900] "GET / HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:05:31 +0900] "GET /tarotapp/Main HTTP/1.1" 200 11122
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:05:31 +0900] "GET /tarotapp/images/%E3%82%BF%E3%83%AD%E3%83%83%E3%83%88%E3%82%AB%E3%83%BC%E3%83%89%E3%82%A2%E3%82%A4%E3%82%B3%E3%83%B34.png HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:05:31 +0900] "GET /tarotapp/images/tarot-8777282_640.png HTTP/1.1" 200 631117
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:05:31 +0900] "GET /tarotapp/images/Blue%20Wood.png HTTP/1.1" 200 235738
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:05:31 +0900] "GET /tarotapp/images/1-removebg.png HTTP/1.1" 200 346240
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:05:31 +0900] "GET /tarotapp/images/Coming%20soon.png HTTP/1.1" 200 235569
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:05:31 +0900] "GET /tarotapp/images/%E3%82%A2%E3%83%AB%E3%82%AB%E3%83%8A.png HTTP/1.1" 200 1708594
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:05:31 +0900] "GET /tarotapp/images/%E5%A4%A7%E3%82%A2%E3%83%AB%E3%82%AB%E3%83%8A/00_%E6%84%9A%E8%80%85.png HTTP/1.1" 200 104020
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:05:31 +0900] "GET /tarotapp/css/main.css HTTP/1.1" 200 3799
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:05:31 +0900] "GET /tarotapp/images/%E5%A4%A7%E3%82%A2%E3%83%AB%E3%82%AB%E3%83%8A/01_%E9%AD%94%E8%A1%93%E5%B8%AB.png HTTP/1.1" 200 105764
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:05:31 +0900] "GET /tarotapp/images/%E5%A4%A7%E3%82%A2%E3%83%AB%E3%82%AB%E3%83%8A/02_%E5%A5%B3%E6%95%99%E7%9A%87.png HTTP/1.1" 200 118712
